model,feature_set,subject,fold,sens,spec,bal_acc,auc
LR,full,01,1,0.6891891891891891,0.5169082125603864,0.6030487008747878,0.6327137414093937
LR,full,03,2,0.8523002421307506,0.4375,0.6449001210653753,0.7168659200968523
LR,full,04,3,0.3767857142857143,0.8375973303670745,0.6071915223263944,0.6579810901001127
LR,full,05,4,0.7795801526717557,0.6252220248667851,0.7024010887692704,0.7825020677125
LR,full,06,5,0.4412878787878788,0.8097297297297297,0.6255088042588042,0.6905446355446341
LR,full,07,6,0.6086956521739131,0.761070110701107,0.6848828814375101,0.7557928995439022
LR,full,08,7,0.5033783783783784,0.7824858757062146,0.6429321270422965,0.704506413192854
LR,full,09,8,0.41228070175438597,0.720103986135182,0.566192343944784,0.6068645038361359
LR,full,10,9,0.36091954022988504,0.6438213914849429,0.502370465857414,0.5370071973359111
LR,full,11,10,0.49029126213592233,0.779373368146214,0.6348323151410682,0.690543486526908
LR,full,12,11,0.7595307917888563,0.5421095666394112,0.6508201792141337,0.7208609184184853
LR,full,13,12,0.6357142857142857,0.6103030303030303,0.623008658008658,0.6592337662337696
LR,full,14,13,0.7954545454545454,0.6861848124428179,0.7408196789486816,0.7998731597770969
LR,full,15,14,0.9562043795620438,0.3412112259970458,0.6487078027795448,0.8237716848699186
LR,full,16,15,0.425,0.6296296296296297,0.5273148148148148,0.5967496141975314
LR,full,17,16,0.6444444444444445,0.7295345104333868,0.6869894774389156,0.7468759288983983
LR,full,18,17,0.7368421052631579,0.4829749103942652,0.6099085078287115,0.6453284971960715
LR,full,19,18,0.8644859813084113,0.551923076923077,0.7082045291157442,0.7758626887131534
LR,full,20,19,0.5449438202247191,0.7205009887936717,0.6327224045091955,0.7069060016442872
LR,sensor_only,01,1,0.5773955773955773,0.5483091787439613,0.5628523780697694,0.5784668067276767
LR,sensor_only,03,2,0.8462469733656174,0.3625,0.6043734866828087,0.6686849273607747
LR,sensor_only,04,3,0.4107142857142857,0.760845383759733,0.5857798347370093,0.6107003813761317
LR,sensor_only,05,4,0.7977099236641222,0.5790408525754884,0.6883753881198054,0.7374835599907803
LR,sensor_only,06,5,0.5189393939393939,0.6854054054054054,0.6021723996723997,0.6345597870597874
LR,sensor_only,07,6,0.4503105590062112,0.8228782287822878,0.6365943938942495,0.6698964039329819
LR,sensor_only,08,7,0.49324324324324326,0.75,0.6216216216216216,0.6742012139257907
LR,sensor_only,09,8,0.1286549707602339,0.8934142114384749,0.5110345910993543,0.5794414545896801
LR,sensor_only,10,9,0.432183908045977,0.5565939771547248,0.49438894260035093,0.5044819231090591
LR,sensor_only,11,10,0.5436893203883495,0.7193211488250653,0.6315052346067074,0.7118051154655369
LR,sensor_only,12,11,0.3724340175953079,0.7563368765331153,0.5643854470642116,0.6627901679203345
LR,sensor_only,13,12,0.7642857142857142,0.5387878787878788,0.6515367965367965,0.6805129870129943
LR,sensor_only,14,13,0.6704545454545454,0.7685269899359561,0.7194907676952508,0.8030545620893319
LR,sensor_only,15,14,0.9635036496350365,0.42097488921713444,0.6922392694260855,0.850596771932855
LR,sensor_only,16,15,0.5833333333333334,0.5104166666666666,0.546875,0.5724440586419768
LR,sensor_only,17,16,0.6962962962962963,0.7407704654895666,0.7185333808929315,0.8034242910647379
LR,sensor_only,18,17,0.631578947368421,0.5170250896057348,0.574302018487078,0.602017629606763
LR,sensor_only,19,18,0.794392523364486,0.6557692307692308,0.7250808770668584,0.7830727294512339
LR,sensor_only,20,19,0.6629213483146067,0.6183256427158866,0.6406234955152467,0.7089761726648537
DT,full,01,1,0.6245398773006134,0.5120772946859904,0.5683085859933019,0.600819477786669
DT,full,03,2,0.8280871670702179,0.39125,0.609668583535109,0.7128858958837773
DT,full,04,3,0.5607142857142857,0.657397107897664,0.6090556968059748,0.6286836564436676
DT,full,05,4,0.7318702290076335,0.6429840142095915,0.6874271216086125,0.7593801269100918
DT,full,06,5,0.48863636363636365,0.7448648648648649,0.6167506142506143,0.6517444717444717
DT,full,07,6,0.4409937888198758,0.7998154981549815,0.6204046434874286,0.6307556553826408
DT,full,08,7,0.5168918918918919,0.7376586741889986,0.6272752830404452,0.6179954637288911
DT,full,09,8,0.03508771929824561,0.9592720970537262,0.4971799081759859,0.4897812845226874
DT,full,10,9,0.4574712643678161,0.6022845275181724,0.5298778959429943,0.513911268664733
DT,full,11,10,0.49514563106796117,0.8305084745762712,0.6628270528221162,0.7036936241313402
DT,full,12,11,0.4633431085043988,0.7702371218315618,0.6167901151679803,0.6397613675328444
DT,full,13,12,0.7142857142857143,0.5060606060606061,0.6101731601731601,0.6715303030303031
DT,full,14,13,0.45454545454545453,0.838975297346752,0.6467603759461032,0.6512309739665642
DT,full,15,14,0.927007299270073,0.42688330871491875,0.6769453039924959,0.7797550377901649
DT,full,16,15,0.5666666666666667,0.6122685185185185,0.5894675925925925,0.59155574845679
DT,full,17,16,0.762962962962963,0.6573033707865169,0.7101331668747399,0.7431038582723977
DT,full,18,17,0.5358851674641149,0.47401433691756273,0.5049497521908388,0.5582951758673321
DT,full,19,18,0.7149532710280374,0.698076923076923,0.7065150970524803,0.7361505511622335
DT,full,20,19,0.550561797752809,0.6684245220830587,0.6094931599179338,0.6566552850466252
DT,sensor_only,01,1,0.6331288343558282,0.5,0.5665644171779141,0.6004415992412792
DT,sensor_only,03,2,0.7506053268765133,0.5875,0.6690526634382566,0.6939232748184019
